first_name,last_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Ali,Imdad,4,1,11,IN,25,Charity worker,"Saltley, Birmingham",Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Ali,Imdad,4,2,9,IN,25,Charity worker,"Saltley, Birmingham",Italian Grissini,Sweet and Savoury Yin Yang Bread
Ali,Imdad,4,3,5,IN,25,Charity worker,"Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Ali,Imdad,4,4,8,OUT,25,Charity worker,"Saltley, Birmingham",Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Alice,Fevronia,10,1,5,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,2,1,STAR BAKER,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,3,7,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,4,8,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,5,6,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,6,1,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,7,6,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,8,3,IN,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,9,4,STAR BAKER,28,Geography teacher,Essex,NA,NA
Alice,Fevronia,10,10,2,Runner-up,28,Geography teacher,Essex,NA,NA
Alvin,Magallanes,6,1,2,IN,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Alvin,Magallanes,6,2,6,IN,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Alvin,Magallanes,6,3,4,IN,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Alvin,Magallanes,6,4,9,IN,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Alvin,Magallanes,6,5,8,IN,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Alvin,Magallanes,6,6,6,OUT,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Amelia,LeBruin,10,1,4,IN,24,Fashion designer,Halifax,NA,NA
Amelia,LeBruin,10,2,9,IN,24,Fashion designer,Halifax,NA,NA
Amelia,LeBruin,10,3,11,OUT,24,Fashion designer,Halifax,NA,NA
Andrew,Smyth,7,1,12,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
Andrew,Smyth,7,2,4,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge
Andrew,Smyth,7,3,2,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Andrew,Smyth,7,4,4,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
Andrew,Smyth,7,5,6,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Andrew,Smyth,7,6,6,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Andrew,Smyth,7,7,1,STAR BAKER,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Andrew,Smyth,7,8,2,IN,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Andrew,Smyth,7,9,2,STAR BAKER,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Andrew,Smyth,7,10,1,Runner-up,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Annetha,Mills,1,1,2,IN,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
Annetha,Mills,1,2,7,OUT,30,Midwife,Essex,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Antony,Amourdoux,9,1,12,IN,30,Banker,London,NA,NA
Antony,Amourdoux,9,2,9,IN,30,Banker,London,NA,NA
Antony,Amourdoux,9,3,8,OUT,30,Banker,London,NA,NA
Beca,Lyne-Pirkis,4,1,8,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Beca,Lyne-Pirkis,4,2,11,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Beca,Lyne-Pirkis,4,3,10,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Beca,Lyne-Pirkis,4,4,2,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Beca,Lyne-Pirkis,4,5,5,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Beca,Lyne-Pirkis,4,6,6,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Beca,Lyne-Pirkis,4,7,1,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Beca,Lyne-Pirkis,4,8,4,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
